sport,height
Women's basketball,65
Women's basketball,70
Women's basketball,67
Women's basketball,71
Women's basketball,72
Women's basketball,64
Women's basketball,71
Women's basketball,68
Women's basketball,72
Men's basketball,72
Men's basketball,69
Men's basketball,75
Men's basketball,70
Men's basketball,70
Men's basketball,69
Men's basketball,72
Men's basketball,72
Men's basketball,70
Men's basketball,72
Men's basketball,71
Men's basketball,67
Men's basketball,70
Men's basketball,72
Men's basketball,72
Men's basketball,70
Men's basketball,75
Men's basketball,76
Men's basketball,73
Men's basketball,65
Men's basketball,64
Men's basketball,70
Men's basketball,72
Men's basketball,74
Men's basketball,69
Women's golf,64
Women's golf,59
Women's golf,64
Women's golf,64
Women's golf,66
Men's golf,68
Men's golf,70
Men's golf,70
Men's golf,70
Men's golf,70
Men's golf,76
Men's golf,69
Men's golf,66
Men's golf,70
Men's golf,71
Men's golf,73
Women's cross-country,66
Women's cross-country,64
Women's cross-country,61
Women's cross-country,63
Women's cross-country,66
Women's cross-country,68
Women's cross-country,61
Women's cross-country,65
Women's cross-country,67
Women's cross-country,61
Women's cross-country,66
Women's cross-country,65
Women's cross-country,65
Women's cross-country,68
Women's cross-country,65
Women's cross-country,67
Women's cross-country,64
Women's cross-country,65
Women's cross-country,67
Women's cross-country,66
Men's cross-country,73
Men's cross-country,72
Men's cross-country,67
Men's cross-country,64
Men's cross-country,69
Men's cross-country,68
Men's cross-country,73
Men's cross-country,69
Men's cross-country,67
Men's cross-country,68
Men's cross-country,69
Men's cross-country,65
Men's cross-country,72
Men's cross-country,60
Men's cross-country,66
Men's cross-country,70
Men's cross-country,69
Men's cross-country,72
Women's ice hockey,67
Women's ice hockey,66
Women's ice hockey,67
Women's ice hockey,64
Women's ice hockey,68
Women's ice hockey,68
Women's ice hockey,65
Women's ice hockey,64
Women's ice hockey,64
Women's ice hockey,61
Women's ice hockey,62
Women's ice hockey,60
Women's ice hockey,67
Women's ice hockey,65
Women's ice hockey,62
Women's ice hockey,62
Women's ice hockey,64
Women's ice hockey,64
Women's ice hockey,61
Women's ice hockey,65
Women's ice hockey,62
Men's ice hockey,75
Men's ice hockey,75
Men's ice hockey,71
Men's ice hockey,72
Men's ice hockey,68
Men's ice hockey,68
Men's ice hockey,72
Men's ice hockey,71
Men's ice hockey,70
Men's ice hockey,70
Men's ice hockey,68
Men's ice hockey,74
Men's ice hockey,72
Men's ice hockey,75
Men's ice hockey,69
Men's ice hockey,70
Men's ice hockey,64
Men's ice hockey,70
Men's ice hockey,71
Men's ice hockey,71
Men's ice hockey,70
Men's ice hockey,69
Men's ice hockey,70
Men's ice hockey,71
Men's ice hockey,72
Men's ice hockey,72
Men's ice hockey,71
Men's ice hockey,70
Men's ice hockey,72
