sex,sept,april
M,163,152
M,205,194
F,150,141
M,130,121
F,141,132
F,123,117
F,154,150
F,128,123
F,110,104
M,157,152
M,148,146
F,123,121
F,154,150
F,134,132
F,117,115
M,203,203
F,126,128
M,148,148
F,128,128
F,108,110
M,150,150
F,152,152
M,192,194
M,179,181
M,132,134
F,115,117
M,154,157
F,139,141
F,123,126
M,150,152
M,150,152
F,119,123
M,176,181
M,141,146
F,126,130
F,139,143
F,119,123
F,123,128
M,119,123
M,161,165
M,170,174
F,139,146
F,112,119
F,130,137
F,143,150
F,117,123
F,137,143
F,121,128
M,163,170
M,163,172
M,141,150
M,141,150
F,126,134
F,141,150
F,132,141
M,141,150
M,146,157
F,115,126
M,157,170
F,121,132
M,143,157
M,165,181
F,93,108
M,163,181
M,207,231
