Year,Hurricanes,
1851,3,
1852,5,
1853,4,
1854,3,
1855,4,
1856,4,
1857,3,
1858,6,
1859,7,
1860,6,
1861,6,
1862,3,
1863,5,
1864,3,
1865,3,
1866,6,
1867,7,
1868,3,
1869,7,
1870,10,
1871,6,
1872,4,
1873,3,
1874,4,
1875,5,
1876,4,
1877,3,
1878,10,
1879,6,
1880,9,
1881,4,
1882,4,
1883,3,
1884,4,
1885,6,
1886,10,
1887,11,
1888,6,
1889,6,
1890,2,
1891,7,
1892,5,
1893,10,
1894,5,
1895,2,
1896,6,
1897,3,
1898,5,
1899,5,
1900,3,
1901,6,
1902,3,
1903,7,
1904,4,
1905,1,
1906,6,
1907,0,
1908,6,
1909,6,
1910,3,
1911,3,
1912,4,
1913,4,
1914,0,
1915,5,
1916,10,
1917,2,
1918,4,
1919,2,
1920,4,
1921,5,
1922,3,
1923,4,
1924,5,
1925,1,
1926,8,
1927,4,
1928,4,
1929,3,
1930,2,
1931,3,
1932,6,
1933,11,
1934,7,
1935,5,
1936,7,
1937,4,
1938,4,
1939,3,
1940,6,
1941,4,
1942,4,
1943,5,
1944,8,
1945,5,
1946,3,
1947,5,
1948,6,
1949,7,
1950,11,
1951,8,
1952,6,
1953,6,
1954,8,
1955,9,
1956,4,
1957,3,
1958,7,
1959,7,
1960,4,
1961,8,
1962,3,
1963,7,
1964,6,
1965,4,
1966,7,
1967,6,
1968,4,
1969,12,
1970,5,
1971,6,
1972,3,
1973,4,
1974,4,
1975,6,
1976,6,
1977,5,
1978,5,
1979,5,
1980,9,
1981,7,
1982,2,
1983,3,
1984,5,
1985,7,
1986,4,
1987,3,
1988,5,
1989,7,
1990,8,
1991,4,
1992,4,
1993,4,
1994,3,
1995,11,
1996,9,
1997,3,
1998,10,
1999,8,
2000,8,
2001,9,
2002,4,
2003,7,
2004,9,
2005,15,
2006,5,
2007,6,
2008,8,
2009,3,
2010,12,
2011,7,
2012,10,
2013,2,
2014,6,
2015,4,
2016,7,
2017,10,
2018,8,
2019,6,
2020,14,
2021,7,
2022,8,
2023,7,
2024,11,
2025,5,
,,
,,
,,
